,t,gamma
0,0.0,2.6871265e-07
1,0.01,7.1151555e-07
2,0.02,1.1574775e-06
3,0.03,1.6069562e-06
4,0.04,2.0573884e-06
5,0.05,2.5083573e-06
6,0.06,2.9574783e-06
7,0.07,3.402546e-06
8,0.08,3.8401636e-06
9,0.09,4.2681845e-06
10,0.1,4.682735e-06
11,0.11,5.0803574e-06
12,0.12,5.458251e-06
13,0.13,5.813614e-06
14,0.14,6.1431083e-06
15,0.15,6.44441e-06
16,0.16,6.7156707e-06
17,0.17,6.95546e-06
18,0.18,7.1628842e-06
19,0.19,7.337764e-06
20,0.2,7.4815307e-06
21,0.21,7.5953158e-06
22,0.22,7.681683e-06
23,0.23,7.745758e-06
24,0.24,7.791654e-06
25,0.25,7.826284e-06
26,0.26,7.857278e-06
27,0.27,7.894174e-06
28,0.28,7.947222e-06
29,0.29,8.02894e-06
30,0.3,8.1525e-06
31,0.31,8.332864e-06
32,0.32,8.584693e-06
33,0.33,8.925573e-06
34,0.34,9.372667e-06
35,0.35,9.945825e-06
36,0.36,1.06680545e-05
37,0.37,1.1572913e-05
38,0.38,1.2713388e-05
39,0.39,1.4176563e-05
40,0.4,1.6115324e-05
41,0.41,1.8776134e-05
42,0.42,2.2503422e-05
43,0.43,2.7655975e-05
44,0.44,3.4304456e-05
45,0.45,4.172768e-05
46,0.46,4.81575e-05
47,0.47,5.1726507e-05
48,0.48,5.2401916e-05
49,0.49,5.2549647e-05
50,0.5,5.4910885e-05
51,0.51,6.059684e-05
52,0.52,6.912785e-05
53,0.53,7.952782e-05
54,0.54,9.10437e-05
55,0.55,0.0001032744
56,0.56,0.00011605766
57,0.57,0.000129337
58,0.58,0.00014309167
59,0.59,0.0001572988
60,0.6,0.00017192074
61,0.61,0.00018691468
62,0.62,0.00020222929
63,0.63,0.00021781346
64,0.64,0.00023361543
65,0.65,0.00024959113
66,0.66,0.00026569964
67,0.67,0.0002819071
68,0.68,0.00029818786
69,0.69,0.0003145208
70,0.7,0.0003308896
71,0.71,0.00034728434
72,0.72,0.000363696
73,0.73,0.0003801207
74,0.74,0.00039655468
75,0.75,0.00041299482
76,0.76,0.00042944128
77,0.77,0.00044589062
78,0.78,0.00046234037
79,0.79,0.00047878924
80,0.8,0.0004952332
81,0.81,0.0005116681
82,0.82,0.00052809133
83,0.83,0.0005444987
84,0.84,0.0005608854
85,0.85,0.00057725015
86,0.86,0.0005935932
87,0.87,0.0006099159
88,0.88,0.000626226
89,0.89,0.00064253074
90,0.9,0.0006588465
91,0.91,0.000675187
92,0.92,0.00069156813
93,0.93,0.00070800196
94,0.94,0.0007244948
95,0.95,0.0007410551
96,0.96,0.00075770495
97,0.97,0.00077449856
98,0.98,0.0007913915
99,0.99,0.00080752076
100,1.0,0.0008191244
101,1.0,0.0008191244
102,1.02,0.0008171707
103,1.04,0.00081744517
104,1.06,0.0008168479
105,1.08,0.0008178452
106,1.1,0.0008196694
107,1.12,0.00082113204
108,1.14,0.000821688
109,1.16,0.00082138146
110,1.18,0.00082052074
111,1.2,0.0008194503
112,1.22,0.000818444
113,1.24,0.0008176812
114,1.26,0.00081725756
115,1.28,0.00081720395
116,1.3,0.0008175088
117,1.32,0.0008181336
118,1.34,0.0008190252
119,1.36,0.0008201246
120,1.38,0.0008213682
121,1.4,0.00082269654
122,1.42,0.0008240511
123,1.44,0.0008253803
124,1.46,0.0008266353
125,1.48,0.0008277761
126,1.5,0.0008287665
127,1.52,0.0008295777
128,1.54,0.0008301874
129,1.56,0.0008305812
130,1.58,0.0008307498
131,1.6,0.0008306949
132,1.62,0.0008304247
133,1.64,0.0008299525
134,1.66,0.00082930335
135,1.68,0.0008285072
136,1.7,0.00082760106
137,1.72,0.00082662853
138,1.74,0.0008256381
139,1.76,0.00082468137
140,1.78,0.00082381
141,1.8,0.0008230766
142,1.82,0.00082252955
143,1.84,0.0008222104
144,1.86,0.00082214974
145,1.88,0.0008223669
146,1.9,0.00082286366
147,1.92,0.0008236229
148,1.94,0.00082460674
149,1.96,0.00082575256
150,1.98,0.0008269761
151,2.0,0.0008281747
152,2.02,0.0008292329
153,2.04,0.0008300347
154,2.06,0.0008304821
155,2.08,0.00083051785
156,2.1,0.00083015335
157,2.12,0.00082948
158,2.14,0.00082862045
159,2.16,0.00082754897
160,2.18,0.00082641834
161,2.2,0.0008281155
162,2.22,0.00083236344
163,2.24,0.00083158736
164,2.26,0.0008343189
165,2.28,0.0008484512
166,2.3,0.00087094447
167,2.32,0.0008979705
168,2.34,0.0009275216
169,2.36,0.0009586212
170,2.38,0.0009907273
171,2.4,0.0010234935
172,2.42,0.0010566766
173,2.44,0.0010901003
174,2.46,0.0011236349
175,2.48,0.0011571904
176,2.5,0.0011907021
177,2.52,0.0012241335
178,2.54,0.0012574639
179,2.56,0.0012906895
180,2.58,0.00132382
181,2.6,0.0013568741
182,2.62,0.0013898797
183,2.64,0.0014228674
184,2.66,0.0014558727
185,2.68,0.0014889262
186,2.7,0.0015220579
187,2.72,0.0015552866
188,2.74,0.0015886177
189,2.76,0.0016220448
190,2.78,0.0016555446
191,2.8,0.0016890836
192,2.82,0.0017226292
193,2.84,0.0017561537
194,2.86,0.0017896416
195,2.88,0.0018230884
196,2.9,0.0018565005
197,2.92,0.0018899173
198,2.94,0.0019234432
199,2.96,0.0019572198
200,2.98,0.0019910773
201,3.0,0.0020183355
202,3.0,0.0020183355
203,3.02,0.0020228128
204,3.04,0.0020213441
205,3.06,0.0020228834
206,3.08,0.002024635
207,3.1,0.0020249744
208,3.12,0.0020252718
209,3.14,0.0020259703
210,3.16,0.0020268844
211,3.18,0.002027767
212,3.2,0.0020284737
213,3.22,0.0020289468
214,3.24,0.0020291896
215,3.26,0.0020292301
216,3.28,0.00202911
217,3.3,0.002028868
218,3.32,0.0020285423
219,3.34,0.0020281668
220,3.36,0.00202777
221,3.38,0.002027376
222,3.4,0.0020270057
223,3.42,0.0020266771
224,3.44,0.0020264036
225,3.46,0.002026198
226,3.48,0.0020260664
227,3.5,0.002026016
228,3.52,0.0020260487
229,3.54,0.002026165
230,3.56,0.002026361
231,3.58,0.0020266308
232,3.6,0.0020269644
233,3.62,0.002027352
234,3.64,0.002027779
235,3.66,0.0020282276
236,3.68,0.002028681
237,3.7,0.0020291216
238,3.72,0.0020295293
239,3.74,0.0020298848
240,3.76,0.0020301738
241,3.78,0.0020303805
242,3.8,0.0020304937
243,3.82,0.0020305067
244,3.84,0.0020304192
245,3.86,0.002030233
246,3.88,0.0020299614
247,3.9,0.00202962
248,3.92,0.002029232
249,3.94,0.002028826
250,3.96,0.0020284338
251,3.98,0.0020280904
252,4.0,0.0020278322
253,4.02,0.00202769
254,4.04,0.0020276895
255,4.06,0.002027847
256,4.08,0.0020281607
257,4.1,0.0020286103
258,4.12,0.0020291526
259,4.14,0.00202972
260,4.16,0.0020302243
261,4.18,0.002030569
262,4.2,0.0020306709
263,4.22,0.002030494
264,4.24,0.0020300837
265,4.26,0.0020295994
266,4.28,0.0020293032
267,4.3,0.00202949
268,4.32,0.0020303521
269,4.34,0.002031843
270,4.36,0.0020336206
271,4.38,0.0020351138
272,4.4,0.0020356379
273,4.42,0.0020350495
274,4.44,0.0020352146
275,4.46,0.0020376483
276,4.48,0.0020390493
277,4.5,0.002038843
278,4.52,0.0020425115
279,4.54,0.0020540436
280,4.56,0.0020733776
281,4.58,0.0020985818
282,4.6,0.0021276327
283,4.62,0.0021589925
284,4.64,0.002191613
285,4.66,0.0022248225
286,4.68,0.0022582072
287,4.7,0.0022915315
288,4.72,0.0023246878
289,4.74,0.0023576568
290,4.76,0.0023904848
291,4.78,0.0024232639
292,4.8,0.0024561128
293,4.82,0.002489162
294,4.84,0.0025225352
295,4.86,0.0025563177
296,4.88,0.0025905226
297,4.9,0.0026250347
298,4.92,0.0026595339
299,4.94,0.002693402
300,4.96,0.0027256182
301,4.98,0.0027546787
302,5.0,0.0027786416
303,5.0,0.0027786416
304,5.02,0.0027954741
305,5.04,0.0028039094
306,5.06,0.0028047569
307,5.08,0.0028016851
308,5.1,0.0027994846
309,5.12,0.002799786
310,5.14,0.0028022036
311,5.16,0.0027955458
312,5.18,0.0027969002
313,5.2,0.0027947119
314,5.22,0.0027939791
315,5.24,0.002794299
316,5.26,0.0027945251
317,5.28,0.0027942555
318,5.3,0.0027934753
319,5.32,0.0027922974
320,5.34,0.0027908615
321,5.36,0.00278929
322,5.38,0.0027876778
323,5.4,0.002786096
324,5.42,0.0027845907
325,5.44,0.0027831902
326,5.46,0.0027819106
327,5.48,0.002780759
328,5.5,0.002779734
329,5.52,0.0027788302
330,5.54,0.0027780419
331,5.56,0.0027773583
332,5.58,0.0027767685
333,5.6,0.002776263
334,5.62,0.0027758311
335,5.64,0.0027754605
336,5.66,0.0027751427
337,5.68,0.0027748668
338,5.7,0.0027746218
339,5.72,0.0027744004
340,5.74,0.0027741904
341,5.76,0.0027739848
342,5.78,0.0027737734
343,5.8,0.002773548
344,5.82,0.002773299
345,5.84,0.0027730186
346,5.86,0.0027726993
347,5.88,0.002772331
348,5.9,0.0027719082
349,5.92,0.002771423
350,5.94,0.0027708686
351,5.96,0.00277024
352,5.98,0.002769533
353,6.0,0.0027687454
354,6.02,0.0027678756
355,6.04,0.0027669282
356,6.06,0.002765909
357,6.08,0.002764831
358,6.1,0.00276371
359,6.12,0.0027625712
360,6.14,0.0027614455
361,6.16,0.0027603682
362,6.18,0.0027593803
363,6.2,0.002758514
364,6.22,0.0027577947
365,6.24,0.00275722
366,6.26,0.0027567665
367,6.28,0.0027563826
368,6.3,0.0027560494
369,6.32,0.0027558564
370,6.34,0.0027559728
371,6.36,0.002755955
372,6.38,0.0027541902
373,6.4,0.0027523339
374,6.42,0.0027536154
375,6.44,0.002753825
376,6.46,0.0027523725
377,6.48,0.002750686
378,6.5,0.0027488503
379,6.52,0.0027468493
380,6.54,0.0027450747
381,6.56,0.0027441941
382,6.58,0.0027449436
383,6.6,0.0027479797
384,6.62,0.0027538096
385,6.64,0.0027627612
386,6.66,0.0027749836
387,6.68,0.002790473
388,6.7,0.002809097
389,6.72,0.0028306337
390,6.74,0.0028547924
391,6.76,0.00288125
392,6.78,0.0029096587
393,6.8,0.0029396776
394,6.82,0.0029709775
395,6.84,0.0030032452
396,6.86,0.0030361966
397,6.88,0.003069576
398,6.9,0.0031031591
399,6.92,0.0031367487
400,6.94,0.0031701806
401,6.96,0.0032033145
402,6.98,0.0032360372
403,7.0,0.0032682577
